produto_id,sku,nome,slug,categoria_id,marca_id,fornecedor_id,preco_custo,preco_venda,peso_kg,garantia_meses,ativo,criado_em
44,TN-11-0044,Caixa de Som Party 100,caixa-de-som-party-100-44,11,5,9,555.89,999.90,0.60,3,1,2025-03-09 00:00:00
45,TN-11-0045,Fone Bluetooth Air One,fone-bluetooth-air-one-45,11,5,6,192.99,299.90,5.39,12,1,2025-03-14 00:00:00
46,TN-11-0046,Fone Over-Ear Studio,fone-over-ear-studio-46,11,5,3,371.65,549.90,5.85,12,1,2025-03-19 00:00:00
47,TN-11-0047,Soundbar Cinema 2.1,soundbar-cinema-2-1-47,11,5,10,534.29,899.90,2.13,12,1,2025-03-24 00:00:00
48,TN-11-0048,Microfone USB Creator,microfone-usb-creator-48,11,5,7,268.65,429.90,4.75,3,1,2025-03-29 00:00:00
49,TN-12-0049,Projetor Mini Beam,projetor-mini-beam-49,12,12,4,768.41,1099.90,2.12,24,1,2025-04-03 00:00:00
50,TN-12-0050,Projetor Full HD Vision,projetor-full-hd-vision-50,12,8,1,1979.88,2899.90,7.21,12,1,2025-04-08 00:00:00
51,TN-12-0051,TV Box Stream 4K,tv-box-stream-4k-51,12,11,8,223.56,349.90,0.36,6,1,2025-04-13 00:00:00
52,TN-12-0052,Monitor Portátil 15,monitor-portatil-15-52,12,8,5,745.08,999.90,4.81,3,1,2025-04-18 00:00:00
53,TN-13-0053,Smartphone Nexa One 128,smartphone-nexa-one-128-53,13,11,2,889.20,1599.90,6.58,12,1,2025-04-23 00:00:00
54,TN-13-0054,Smartphone Nexa Pro 256,smartphone-nexa-pro-256-54,13,11,9,2080.56,2799.90,7.38,12,1,2025-04-28 00:00:00
55,TN-13-0055,Smartphone Orbit Lite,smartphone-orbit-lite-55,13,12,6,725.57,1199.90,1.29,12,1,2025-05-03 00:00:00
56,TN-14-0056,Carregador USB-C 45 W,carregador-usb-c-45-w-56,14,9,3,106.45,159.90,4.19,3,1,2025-05-08 00:00:00
57,TN-14-0057,Power Bank 20000 mAh,power-bank-20000-mah-57,14,9,10,126.75,229.90,0.19,24,1,2025-05-13 00:00:00
58,TN-14-0058,Cabo USB-C Reforçado,cabo-usb-c-reforcado-58,14,6,7,33.72,59.90,7.93,6,1,2025-05-18 00:00:00
59,TN-14-0059,Suporte Veicular Magnético,suporte-veicular-magnetico-59,14,6,4,60.75,89.90,0.48,3,1,2025-05-23 00:00:00
60,TN-14-0060,Película Premium Universal,pelicula-premium-universal-60,14,1,1,23.98,39.90,5.54,24,1,2025-05-28 00:00:00
